Date,Open,High,Low,Close,Volume
2016-12-17 08:00:00,784.17,793,782.93,790.99,6201.337735110012
2016-12-18 08:00:00,790.99,792.8,784.36,790.21,2432.0011578999965
2016-12-19 08:00:00,790.18,792.27,787.75,790.59,2153.173420509991
2016-12-20 08:00:00,790.59,802.33,787.86,797.99,6992.559286220067
2016-12-21 08:00:00,797.99,830.5,794.95,829.34,16218.640510220468
2016-12-22 08:00:00,829.33,874,825,859.2,15249.764403200299
2016-12-23 08:00:00,859,920,859,918.99,26032.66403869893
2016-12-24 08:00:00,917.29,919.99,882.41,895.24,7388.143101650057
2016-12-25 08:00:00,895.31,904.55,858.62,898,12044.633193260195
2016-12-26 08:00:00,898,920,894.21,906.4,11822.156806280178
2016-12-27 08:00:00,906.37,940,903.51,936.43,9187.271646700205
2016-12-28 08:00:00,936.42,983,935.93,981.7,20822.766421739656
2016-12-29 08:00:00,981.7,983,945,974.74,22557.863082500244
2016-12-30 08:00:00,973.41,974.32,929.5,959.26,19356.95874255995
2016-12-31 08:00:00,959.19,968.2,945.01,966.58,7156.027717180096
2017-01-01 08:00:00,966.61,1006.5,961.26,998.99,13441.148975480162
2017-01-02 08:00:00,999,1035,994.1,1019.3,21808.63450497015
2017-01-03 08:00:00,1019.6,1040,1013.5,1037.5,14107.95571394017
2017-01-04 08:00:00,1037.6,1150,1036.4,1139.6,53728.83876761936
2017-01-05 08:00:00,1138.3,1166,850.79,1003.2,91204.82486650968
2017-01-06 08:00:00,1003.8,1025,871,898.5,57405.14504720025
2017-01-07 08:00:00,898.2,911.09,815,908,40602.99825714004
2017-01-08 08:00:00,908.03,943.6,890,915.9,30742.59543248628
2017-01-09 08:00:00,915.9,916.7,875,903,16587.343688930578
2017-01-10 08:00:00,903.01,918,895.48,905.76,12138.62205225993
2017-01-11 08:00:00,905.76,923.66,760,779.54,62866.93940117989
2017-01-12 08:00:00,779.54,831.18,735,804.58,35912.53320485809
2017-01-13 08:00:00,804.58,832.39,775.61,828.12,25872.960626199303
2017-01-14 08:00:00,827.22,838.54,800.03,815.3,12532.918015939966
2017-01-15 08:00:00,816.7,823,805.03,820.74,5392.398235950108
2017-01-16 08:00:00,821.16,837.97,813.94,830.1,7652.416470630093
2017-01-17 08:00:00,830,910.8,828,903.99,27345.226563979177
2017-01-18 08:00:00,903.99,913.85,847.23,887.46,21304.10739961927
2017-01-19 08:00:00,887.49,910.03,883.49,900.29,15082.097289470486
